ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
0100BRA16904,bstpadw,,,The Centre,,,,,,Colston Street,,,,C14,,S,N0076879,Bristol City Centre,Bristol,,,,,,true,UKOS,358554,172992,-2.59787,51.45438,BCT,MKD,OTH,,,,009,2009-02-05T00:00:00,2018-04-18T14:25:45,20,new,active
0100BRP90336,bstdwmg,,,The Centre,,,,,,Colston Street,,,,Cv,,SW,N0076879,Bristol City Centre,Bristol,,,,,,true,UKOS,358560,173004,-2.59779,51.45449,BCT,MKD,OTH,,,,009,2009-02-05T00:00:00,2018-04-10T13:21:55,16,new,active
0100BRA10439,bstjpwm,,,Arnos Court,,,,,,Bath Road,,,,W-bound,,W,E0035560,Arnos Vale,Bristol,,,,,,false,UKOS,360990,171609,-2.56267,51.44212,BCT,MKD,OTH,,,,009,2010-06-30T00:00:00,2025-09-04T11:13:40,159,new,active
0100BRA10445,bstjtwd,,,Arnos Court,,,,,,Bath Road,,,,E-bound,,E,E0035560,Arnos Vale,Bristol,,,,,,false,UKOS,361086,171603,-2.56128,51.44207,BCT,MKD,OTH,,,,009,2009-06-26T00:00:00,2025-09-04T11:13:30,142,new,active
0100BRA10931,bstjwmd,,,Tramway Road,,,,,,Bath Road,,,,N-bound,,N,E0035580,Brislington,Bristol,,,,,,false,UKOS,361320,171168,-2.55787,51.43818,BCT,MKD,OTH,,,,009,2008-09-05T00:00:00,2019-05-01T11:20:13,8,new,active
0100BRA10932,bstjwpw,,,Tramway Road,,,,,,Bath Road,,,,SE-bound,,SE,E0035580,Brislington,Bristol,,,,,,false,UKOS,361387,171097,-2.5569,51.43754,BCT,MKD,OTH,,,,009,2007-05-21T00:00:00,2019-05-01T11:20:27,14,new,active
0100BRA10193,bstmamw,,,Eagle Road,,,,,,A4,,,,SE-bound,,SE,E0035580,Brislington,Bristol,,,,,,false,UKOS,361607,170914,-2.55371,51.43591,BCT,MKD,OTH,,,,009,2009-02-05T00:00:00,2024-10-11T17:35:10,48,new,active
0100BRA10930,bstmaja,,,Eagle Road,,,,,,Eagle Road,,,,NW-bound,,NW,E0035580,Brislington,Bristol,,,,,,false,UKOS,361536,170935,-2.55474,51.4361,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2018-07-13T10:35:40,15,new,active
0100BRA10929,bstmadw,,,Tesco Brislington,,,,,,Callington Road,,,,S-bound,,S,E0035580,Brislington,Bristol,,,,,,false,UKOS,361467,170455,-2.55568,51.43178,BCT,MKD,OTH,,,,009,2007-03-29T00:00:00,2020-08-18T12:50:53,18,new,active
0100BRA10927,bstmdap,,,Callington Road,,,,,,Callington Road,,,,W-bound,,W,E0035580,Brislington,Bristol,,,,,,false,UKOS,361711,170318,-2.55215,51.43056,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2016-10-31T10:33:04,7,new,active
0100BRA10928,bstmawm,,,Callington Road,,,,,,Callington Road,,,,E-bound,,E,E0035580,Brislington,Bristol,,,,,,false,UKOS,361804,170396,-2.55082,51.43127,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2016-10-31T10:33:04,4,new,active
0100BRA10943,bstampa,,,Sea Walls,,,,,,Circular Road,,,,N-bound,,N,N0077028,Clifton Down,Bristol,,,,,,false,UKOS,355984,174730,-2.63508,51.46981,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2019-06-20T11:14:09,9,delete,inactive
0100BRA10942,bstawgj,,,Ladies Mile,,,,,,Stoke Road,,,,SE-bound,,SE,N0081137,The Downs,Bristol,,,,,,false,UKOS,357035,175070,-2.61999,51.47295,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2020-02-21T14:16:31,18,delete,inactive
0100BRA10935,bstjdwd,,,Oxford Street,,,,,,Oxford Street,,,,W-bound,,W,E0035660,The Dings,Bristol,,,,,,false,UKOS,359947,172644,-2.57779,51.45135,BCT,CUS,OTH,,,,009,2009-02-10T00:00:00,2017-10-25T16:19:55,7,delete,inactive
0100BRA10934,bstjdwa,,,Oxford Street,,,,,,Oxford Street,,,,E-bound,,E,E0035660,The Dings,Bristol,,,,,,false,UKOS,359945,172652,-2.57782,51.45143,BCT,CUS,OTH,,,,009,2009-02-10T00:00:00,2017-10-25T16:19:46,7,delete,inactive
0100BRA10918,bstmjaw,,,Jersey Avenue,,,,,,Birchwood Road,,,,N-bound,,N,N0077027,Broom Hill,Brislington,,,,,,false,UKOS,362480,171731,-2.54124,51.44332,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2023-10-30T13:19:55,4,new,active
0100BRA10917,bstmjdj,,,Jersey Avenue,,,,,,Birchwood Road,,,,S-bound,,S,N0077027,Broom Hill,Brislington,,,,,,false,UKOS,362514,171783,-2.54076,51.44379,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2016-10-31T10:33:04,4,new,active
0100BRA10916,bstmjad,,,St Brelades Grove,,,,,,Birchwood Road,,,,S-bound,,S,E0035648,St Annes Park,Bristol,,,,,,false,UKOS,362454,172182,-2.54166,51.44737,BCT,MKD,OTH,,,,009,2007-03-29T00:00:00,2016-10-31T10:33:04,4,new,active
0100BRA10915,bstmgwg,,,St Brelades Grove,,,,,,Birchwood Road,,,,N-bound,,N,E0035648,St Annes Park,Bristol,,,,,,false,UKOS,362436,172214,-2.54193,51.44766,BCT,MKD,OTH,,,,009,2007-03-29T00:00:00,2016-10-31T10:33:04,11,new,active
0100BRA10911,bstmdag,,,Arlington Road,,,,,,Newbridge Road,,,,E-bound,,E,N0077043,St Annes,Bristol,,,,,,false,UKOS,361811,172624,-2.55096,51.4513,BCT,MKD,OTH,,,,009,2009-02-05T00:00:00,2017-05-22T17:55:37,10,new,active
0100BRA10210,bstmatg,,,Arlington Road,,,,,,Newbridge Road,,,,W-bound,,W,N0077043,St Annes,Bristol,,,,,,false,UKOS,361733,172595,-2.55208,51.45104,BCT,MKD,OTH,,,,009,2009-02-05T00:00:00,2017-05-22T17:56:42,12,new,active
0100BRA10209,bstmdad,,,Arlington Road,,,,,,Saint Anne's Road,,,,NE-bound,,NE,N0077043,St Annes,Bristol,,,,,,false,UKOS,361813,172664,-2.55094,51.45166,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2023-10-30T13:09:58,12,new,active
0100BRA10926,bstmdtj,,,Church Parade,,,,,,Church Hill,,,,N-bound,,N,E0035580,Brislington,Bristol,,,,,,false,UKOS,362003,170769,-2.548,51.43464,BCT,MKD,OTH,,,,009,2009-02-05T00:00:00,2016-10-31T10:33:04,4,new,active
0100BRA10924,bstmgat,,,Jean Road,,,,,,School Road,,,,NE-bound,,NE,E0035580,Brislington,Bristol,,,,,,false,UKOS,362174,170968,-2.54556,51.43644,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2025-03-04T15:30:15,23,new,active
0100BRA10925,bstmgaw,,,Jean Road,,,,,,School Road,,,,SW-bound,,SW,E0035580,Brislington,Bristol,,,,,,false,UKOS,362274,171064,-2.54413,51.43731,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2025-03-04T15:23:43,61,new,active
